aid,name
12385,LAWRENCE R FRANKLIN
12386,MACMILLAN SOBANSKIK TODD
12387,JENKEN GILCHRIST
12388,GONZALO LAVIN
12389,C E MARTINE JR
12390,MICHAEL DIAZ
12391,MARCUS RISSO
12392,GARY L EASTMAN
12393,PATTERSONTHUENTES SKAAR CHRISTENSEN PA
12394,BOTKIN HALL LLP
12395,MICHAEL J HENDEL
12396,ROBERT T SPAULDING
12397,BOND SCHONECK KING PLLC
12398,JAMES E BRADLEY
12399,DANIEL J WHITMAN
12400,ROBERT KINSBERG
12401,MERONI MERONI
12402,PEPE HAZARD LLC
12403,MITCHELL P BROOK ESQ
12404,JAMES E PARRIS
12405,THOMAS M FISHER
12406,PATENT LAW OFFICES MEW
12407,PROTECHOR INTL SERVICES
12408,EDWARD K WELCH II
12409,TROLLI SUNDHEIM COVELL TUMMINO LLP
12410,YOUNG BASILE
12411,ROBERT J HARJER
12412,FRANK LIEBENOW
12413,BRADLEY D BLANCHE
12414,CHRISTOPER J SCOTT
12415,MANATT PHELPS PHILLIPS
12416,CARTER DELUCE FARRELL SCHMIDT LLP
12417,DAVID J KLANN
12418,DORR CARSON BIRNEY PC
12419,JULIO GARCERAN
12420,JAMES G STAPLES
12421,ADAM ARNOLD
12422,KEELING PATENTS TRADEMARK
12423,BART S HERSKO
12424,LEROY B POPE
12425,MICHAEL L MURPHY
12426,KATHLEEN NEUNER MUNNE
12427,GERHARD P SHIPLEY
12428,JOHN F FADO
12429,JANET I STOCKHAUSER
12430,PAULA A DEGRANDIS
12431,CATHERINE D FITCH
12432,KOREN ANDERSON
12433,CHRIS BUNTEL
12434,LODGE HUTZ LLP
12435,BRENDA HERSCHBACK JARRELL
12436,JIANO CHYUN IP OFFICE
12437,JUDSON R HIGHTOWER
12438,ANNE KINSMAN
12439,CYMAR INC
12440,LARRY LIBERCHUK
12441,ROGER J FRENCH
12442,DAVID KING
12443,CHARLES BERGERE
12444,BRPPKS KUSHMAN PC
12445,MATTINGLY STANGER MALUR BRUNDIDGE PPC
12446,DAVID C ISAACSON
12447,WESTERMAN CHAMPLIN KELLY PA
12448,MICHAEL A REGAN
12449,KOFANG CHANG
12450,DLA PIPER RUDNICK GRAY CARY
12451,ROGER BURLEIGH
12452,THOMAS R MARQUIS
12453,BARBARA WALKOWSKI
12454,PERMAN GREE LLP
12455,JUAN A MARQUEZ ESQ
12456,CANON USA INC IP DIVISON
12457,WOLF BLOCK SCHORR SOLISCOHEN LLP
12458,SEAN M CASEY
12459,R NOL KIVLIN
12460,WILLIAM S LIGHTBODY
12461,JAMES G OBOYLE
12462,MITCHELL B WASSON
12463,PETER M MIDGLEY
12464,WILLIAMS J KUBIDA
12465,THOMAS N GIACCHERINI
12466,LSI LOGIC CORPORATION
12467,ANDREW WOJNICKI JR
12468,HAMILTON BROOK SMITH REYNODS PC
12469,MICHAEL A SPRINGS
12470,FOGG AND ASSOCIATE LLC
12471,MEREK BLACKMON AND VOORHEES LLC
12472,ROGER H CHU
12473,FRANK D LACHENMAIER
12474,RAYMOND G AREAUX
12475,LISA C VELEZ
12476,E NAIR FLORES ESQ
12477,STEPHAN KREFMAN
12478,DONALD R BAHR
12479,BENTLEY J OLIVE
12480,FULWIDER PATTON LEE UTECHT
12481,PATTERSON THUENTE SKAAR CHRISTENSEN PS
12482,NIKOLAI MERSERAU PA
12483,PROTECTIONS EQUINOX INTL INC
12484,ALLEN R KIPNES
12485,ALLAN L HARMS
12486,TIM TINGHANG XIA ESQ
12487,GENE SCOTT PATENT LAW AND VENTURE GROUP
12488,SLATER MICHAELSON
12489,POWELL POWELL PC
12490,MARY HOWARD POWELL
12491,CATALYST LAW GROUP APC
12492,MICHAEL B FABER ESQ
12493,LAW OFFICE OF TIM COOK
12494,R EUGENE VARNDELL JR
12495,WILLIAM W RANDOLPH
12496,MICHAEL T SANDERSON
12497,THE KLINELAW FIRM
12498,ARMCLOJAZ
12499,STEVE SAYEEDI
12500,MORGAN LEWISBOCKIUS LLP
12501,REZO GREEN
12502,MARK BILAK
12503,ASHISH D PATEL ESQ
12504,GERALD E HESPOS ESQ
12505,KARIN L WILLLIAMS ESQ
12506,JAMES F HUNN
12507,CHARLES W AGNEW
12508,WILSON SONINI GOODRICH ROSATI
12509,JAMES R SHAY
12510,ROBERT E MUIR
12511,NARINDER BANAIT
12512,THEODORE R PAULDING
12513,JOSEPH P HAMILTON
12514,THOMAS R VIGIL ESQ
12515,WORREL WORREL
12516,KEITH TABOADA ESQ
12517,SCULLY SCOTT MURPHY PRESSSER
12518,WILL SCHUMACHER
12519,JEFFREY A HALL
12520,TUNG ASSOC
12521,GREGORY J SIECZKIEWICZ
12522,MEI L BENNI
12523,GEORGE M YAHWAK
12524,CURAGEN CORPORATION
12525,ROBERT LANNING
12526,W R GRACE COCONN
12527,PATRICK S EAGLEMAN
12528,MICHAEL ALEXANDER
12529,ADRIAN G LOONEY
12530,MUCHIN ROSENMAN LLP
12531,MARY VAN ATTEN
12532,JOHN MROZINSKI
12533,WILLIAM GREENER
12534,EUGENE SHKURKO
12535,LISA JAKLITSCH ESQ
12536,EDWARD MICKELSON
12537,BOLEY HOAG LLP
12538,HAYNES AMD BOONE LLP
12539,LAURENCE EDSON ESQ
12540,BURMAN Y MATHIS
12541,MARC FOODMAN ESQ
12542,JEFFREY SCHOX
12543,ROBERT A VAN SOMEREN
12544,MOSER IP LAW GROUP
12545,LENOARD ALKOV
12546,PHUONGQUAN HOANG
12547,PHILIP J WYATT
12548,WORMAN NYDEGGER
12549,ANDREW O SCHEINMAN
12550,STEVEN R VOSEN
12551,ANDREW D RYAN
12552,KONRAD RAYNE VICTOR LLP
12553,NANCY A SMITH
12554,MATTHEW S GART
12555,HOGAN HARTSON LLC
12556,DEKAL PATENT LTD
12557,JUDY LIAO SHIE
12558,BRUCE TERRY
12559,HILL LAW FIRM
12560,PILLSBURY WINTHROP SHAT PITTMAN LLP
12561,PETER ZIOWILSKI
12562,BOURQUER ASSOC
12563,STANTON E COLLIER
12564,PATENT LAW OFFICES OF MICHAEL E WOODS
12565,EVELYN R MCCONATHY
12566,FAY SHRPE FAGAN MINNICH MCKEE
12567,RICHARD M LEHRER
12568,JAY J MAIOLI
12569,FINNEGAN HENERSON FARABO GARRETT DUNNER LLP
12570,PATRICK HIGGINS
12571,RUDOLF O SIGESMUND
12572,LEE HAYES LLP
12573,SAINA S SHAMILOV
12574,DLA PIPER RUDNICK GRAY US LLP
12575,JOHN D FLYNN
12576,JEFFREY S DRAEGER
12577,MUIRHEAD AND SATURNELLI LLC
12578,JAMES KURKOWSKI
12579,SATHEESH KARRA ESQ
12580,STEPHEN CALOGERO ESQ
12581,STATTLER HOHANSEN ADELI LLP
12582,E DWAYNE NELSON ESQ
12583,MOSER PATTERSON SHERIDAN I
12584,KLAAS LAW PC
12585,HANES SCHUTZ LLC
12586,EDWARD H RENNER
12587,RICHARD D MULTER
12588,MITCHELL A STEIN
12589,STEIN LAW PC
12590,AARON MCGUSHION
12591,JAMES P DAVIDSON ESQ
12592,TODD B MURRAH
12593,COOK ALEX MCFARRON MANZO CUMMINGS MEHLER TD
12594,DAN M DELA ROSA
12595,MICHAEL D STEFFENSMEIER
12596,ALFRED E MILLER
12597,MARSHALL A LERNER ESQ
12598,PATRICK AVAKIAN ESQ
12599,HAMRE SCHUMANN MUELLER LARSON P C
12600,FISH NEAVE GROUP OF ROPES GRAY LLP
12601,JACOB EARLICH
12602,SCOTT M SMITH
12603,ALIGN TECHNOLOGY INC
12604,WERNER AXENFELD LLP
12605,ROBERT DULANEY
12606,RENNER KENNER BOBAK
12607,ROBERT WADDELL
12608,TED A ANTHONY
12609,CLARK AND ELBING LLP
12610,TAKEUCHIKUBOTERA LLP
12611,HARISH DHINGRA
12612,DHINGRA ASSOCIATES
12613,WILSON SONSINI GOODRICH ROIATI
12614,RAUL V FONTE
12615,M LAWRENCE OLIVERIO
12616,KUDIRKA JPBSE LLP
12617,KRAMER LEVIN
12618,NAFTALIS FRANKEL LLP
12619,AMY M LEAHY
12620,VIBAS ARRETT STEINKRAUS
12621,MICHAEL C MAIER
12622,FISH NEAVE IP ROPES GRAY LLP
12623,MORRISON FOERESTER LLP
12624,ANN C PETERSEN
12625,BUTLER SNOW OMARA STEVENS CANADA PLLC
12626,JENNIFER P FERRAGUT
12627,CHERYL L HUSEMAN
12628,B TIMOTHY CREAGAN
12629,HOWREY SIMON ARNOLD WHIRTE LLP
12630,RAYMOND N NIMROD
12631,WILLIAM C COPPOLA
12632,STEVEN J CALLISTEIN
12633,CHRISTOPHER BUNTEL
12634,THOMAS J HOWELL
12635,WITOLD ANDREW ZIARNO
12636,TIMOTHY KIMBROUGH
12637,VERNE KREGER
12638,SUGRUE MION PLLC
12639,RABIN RABIN PC
12640,ANTHONY P GANGERNI
12641,CHARLES V BETHARDS
12642,H ARTOUSH OHANIAN
12643,RICHARD MYSLIWIEC
12644,JEANETTE WALDER
12645,DLA PIPER RUDNICK GRAY CARY USLLP
12646,LEFFERT JAY POLGLAZEPA
12647,GEORGE J OEHLINC
12648,SHEMWELL MAHAMEDI LLP
12649,DONALD D MONDUL
12650,RAYMOND A JENSKI
12651,GREEMBLUM BERNSTEIN PLC
12652,KANYON JENCKES
12653,FULBRIGHTJAWORSKILLP
12654,BLUMENFELD KAPLAN SANDWEISS PC
12655,SQUIRE SANDERS AND DEMPSEY LLP
12656,JACASSE ASSOCIATES
12657,KILPATRICK STOCTKON LLP
12658,JOANN KEALY CROCKATT
12659,JAMES A STOVER
12660,FENSTER CO
12661,TANAKI K DAVDA
12662,PHILLIP A PEDIGO
12663,FLEIT KAIN GIBBONS GUTMAN DONGINI BIANCO PL
12664,JOHN J CIOFFI
12665,MARK RODGERS AGENT
12666,CLARE T HARTNETT
12667,THOMAS BETHEA JR
12668,BRIAN R COLEMAN
12669,DENNIS A GROSS
12670,THE HILL FIRM
12671,WM BRUCE DAY
12672,JOHN JOSEPH HALL
12673,WILLAM SCOTT ANDES
12674,GEORGE L RIDEOUT
12675,CHARLES LEE THOMPSON
12676,WILLIAM Y KLETT III
12677,JANINE R NOVATT
12678,THOMAS R WEAVER
12679,JOHN D RUSSELL
12680,JOHN F BUCKERT
12681,FLEIT KAIN GIBBON GUTMAN BONGINI BIANCO
12682,DOUGLAS L WELLER
12683,LAWRENCE J GIBEY JR
12684,SANDER RABIN
12685,FRANK COZZARELLI JR
12686,COZZARELLI LAW FIRM
12687,MITCHELL MCCARTHY
12688,FOLEY HOAG LP
12689,LLOYD W BONNEVILLE ATTORNEY
12690,DEREK V FORINASH
12691,DAVID A ROSE
12692,BROOKS KUSHAMN PC
12693,QUARLES BRADLY LLP
12694,BEADY OBOYLE GATES
12695,EDWARD A SQUILLANTE JR
12696,MICHAEL J BONELLA
12697,GUY CUMBERBATCH
12698,MICHAEL BEST FREDRICH LLC
12699,OHLANDT GREELEY RUGGIERO PEARLE LLP
12700,DEAN GARNER
12701,JAMES CAI ESQ
12702,BIRCHSTEWARTKOLASCHBIRCHLLP
12703,AKERMAN SENEERFITT
12704,BRUCE BURDICK
12705,HEMINGWAY HANSEN LLP
12706,MICHAEL R GILMAN
12707,THE TORPY GROUP PLC
12708,ARENT FOX KINTNER PLOTKIN KAHN
12709,ROBERT VANSOMEREN
12710,PAUL F STUTZ
12711,LATHROP GAGELC
12712,DELLETT AND WALTERS
12713,LAW OFFICE OF GLENN R SMITH
12714,LEI LIU
12715,PATTERSON SHERIDAN
12716,DICKSTEIN SHARPIRO MORIN OSHINSKY LLP
12717,PATRICIA M CASTANZO
12718,MUCHSHELISTFREED
12719,DILLIS V ALLEN ESQ
12720,KENNETH P KROHN
12721,THOMAS M DIMAURO
12722,LORUSSO ASSOCIATES
12723,KILPATRCK STOCKTON LLP
12724,TOWNSENDTOWNSEND
12725,WILLIAM I WINTER
12726,JACK ONEY
12727,DRINKER RIDDLE REATH LLP
12728,MINTZ LEVIN COHEN FERRIS GLOVSKY AND POPEO PC
12729,DANIEL F COUGHLIN ESQ
12730,NICHOLAS P TRIANO III ESQ
12731,SIMONA A LEVIMINZI
12732,WILKINSON GRIST
12733,GEORGE G WANG
12734,CHARLES S HO
12735,FLETCHER YODER PC
12736,J NICHOLS GROSS
12737,TRAZKBRITT
12738,GENUS LAW GROUP
12739,RAYMOND HO
12740,WADE JAMES BRADY II
12741,KEVIN R KASTER
12742,PHOTON RAO
12743,J W SEANOR DVM
12744,ROBERT A KOONS JR ESQ
12745,GARY D MANGELS
12746,JEFFREY A HAGENATH
12747,MINTZ LEVIN COHN FERRIS GLOVSKY AND PEPEO PC
12748,JOHN F DANIELS III
12749,JONDLE ASSOCIATES
12750,EDWARDS ANGELL PALMER DODGE
12751,BRIAN R SHERT
12752,PETER JONLIN SU
12753,ANGELO CHACLAS
12754,DAVID GIGLIO
12755,MARI STEWART
12756,CARMEN COOK
12757,MCGAHEY MCGAHEY APLC
12758,HARRY V MCGAHEY
12759,MCGINN IP LAW FIRM GROUP PLLC
12760,HOFFMAN WARNICK AND DALESSANDRO LLC
12761,ROBERT SULLIVAN
12762,BLAKLEY SOKLOFF TAYLOR ZAFMAN LLP
12763,SUNAK K LEE
12764,MORRISION FOERSTER LLP
12765,A JASON MIRABITO
12766,EDWARDS ANGELL PALMER DODGE LLP
12767,MOLLIC E LERTANG
12768,WONG CABELLO LUTSCH RUTHERFORD BRUCCULIERI LLP
12769,CAMPBELL STEPHENSON ASCOLESE
12770,LAURENCE T CULLEN
12771,PHILIP W WADSWORTH
12772,JOSEPH R PALMLERI ESQ
12773,ANDREW F SAYKO JR
12774,ARMSRTRONG KRATZ QUINTOS HANSON BROOKS LLP
12775,FITZPATRICK CELLA HARPFR SCINTO
12776,CHRISTOPHER J WAIT
12777,CHRISTOPHER L BERNARD
12778,TYLER S BROWN
12779,FREDRICK H GRIBBELL LLC
12780,GARLICKHARRISON MARKISON LLP
12781,PAQUEL KALOVSEK
12782,ALLEN DYER DOPPELT MILBRATH GILCBRIST PA
12783,BRIAN R WOODWORTH
12784,VICTORIA A POISSANT
12785,DAVID L TERRELL
12786,DANITA J M MASELE
12787,DARITA J M MASELES
12788,MANNAVA KANG PC
12789,ASHOK K MANNAVA
12790,PAUL D HEYDON
12791,OGILVIE LAW FIRM
12792,RICHARD P LANGE
12793,BUCKLEY MASCHOFF TALWALKAR LLP
12794,WESTMAN CHAMPIN KELLY PA
12795,HOMER W FAWCETT III
12796,LEFFERY JAY POLGLAZE PA
12797,NORMAN GUNDEL
12798,JULIE H GHEEM
12799,JOHN H THOMAS
12800,RALPH D CHABOT
12801,LYNN SCHUMACHER HILL SCHUMACHER
12802,BEUSSE BROWNLEE WOLTER MORA MAIRE P A
12803,PARKSUTTON LLP
12804,THERESA FRITZ CAMORIAM
12805,MCINTYRE HARBIN KING LLP
12806,ROBERT A DE GROOT
12807,BROWDY AND NEIMARK PL
12808,GEORGE F BETHEL
12809,GARY J GERSHIK
12810,THEODORE J PIERSOU
12811,JEFFERY R DALY
12812,CAMERON R SNEDDON
12813,DAVID CATA
12814,ALICIA M PASSERIN
12815,MATTHEW W ADAMS
12816,MARTIN FRUITMAN
12817,SAND SEBOTT
12818,SUSAN M SCHMITT
12819,LAWRENCE J GIBNEY
12820,DAVID ZINGERMAN
12821,KILE GOEKJIAN REED MCMANUS
12822,MICHAEL PRUDEN
12823,WILLIAM A JECKLE
12824,MICHAEL A CURANIA
12825,MICHAEL M RICKIN
12826,JONES WAKER WAECHTER POITEVENT CARRERE DENEGRE LLP
12827,BRANNEN LAW OFFICE LLC
12828,JOSEPH SMITH
12829,AUSTIN J FOLEY
12830,ALEYA R CHAMPLIN
12831,JOHN F KLOS
12832,DAVID B WALLER ASSOCIATES
12833,RICHARD A ELDER
12834,KELLY L MCDOWDUNHAM
12835,STEPHEN J GAUDET OF PERKINS SMITH COHEN LLP
12836,REED ASSOCIATES
12837,WHYTE HIRSCHBOECK DUDEL SC
12838,MICHAEL A CROMWELL
12839,JAMES GREGORY CULLEM
12840,HUESCHEN AND SAGE
12841,GWILYM J O ATTWELL
12842,LORI Y BEARDELL
12843,PAUL J BACKOFEN ESQ
12844,MICHAEL DELLA PENNA ESQ
12845,WARE FRESSOLA VAN DER SLUYS ADOLPHSO LLP
12846,DONASLD R STUDEBAKER
12847,MICHAEL J CHASAN
12848,JOHN J KRASEK
12849,IPLA PA
12850,JAMES E BARNE
12851,NATH ASSOCIATES PLC
12852,FREDERICK J TELECY JR
12853,MATTHEW W WITSIL
12854,DRINKERBIDDLEREATHLLP
12855,MICHAEL D CARTER
12856,SILICOM VALLEY PATENT GROUP LLP
12857,GEOFFREY L OBERHAUS
12858,JOHN CARPENTER
12859,MARGO MADDUX
12860,CARSTENS YEE CAHOONLLP
12861,BEYER WEAVER AND THOMAS LLP
12862,SPNNENSCHEIN NATH ROSENTHAL LLP
12863,MATTING STANGER MALUR BRUNDIDGE PC
12864,DONALD B PASCHBORG
12865,MICHELE L CONOVER
12866,FEASTER R COMPANY
12867,ISAAC ASSO
12868,RICHARD SPOONER
12869,MICHAEL Y EPSTEIN
12870,ANDREW HESS
12871,OPPENHEIMER WOLFF AND DONNELLY LLP
12872,IVEY SMITH RAMIREZ
12873,RUTH J MA
12874,ADRIENNE YEUNG
12875,JOHN KENNEL ESQ
12876,DEAN J TRICARICO
12877,RUSSELL W GUENTHNER
12878,ROBERT BRUSH
12879,MATTINGLYSTANGERMALUR BRUNDIDGE PC
12880,RUDOLF D SIEGESMUND
12881,LUCAS MERCANTI LL
12882,GREGORY E UPCHURCH
12883,JOHN L SCHMITT
12884,ALLEMAN HALL MCCOY TUTTLE LLP
12885,NIXON VANDERHYE PPC
12886,VIDAS ARRETTSTEINKRAUS PA
12887,DEAN WATSON
12888,DURA AUTOMOTIVE
12889,MILAN MILOSEVIC
12890,LISA WUNDERLICH
12891,MORTON A POLSTER
12892,CRAIG TAYLOR LAW OFFICE PLLC
12893,LETHAM PATENT GROUP LLC
12894,LAWRENCE LETHAM
12895,KRAMER LEVIN NAFTALIS AND FRANKEL LLP
12896,GREGOR N NEFF
12897,SHUGHART THOMSON KILROY
12898,FRANK J MCGUIRE
12899,ERYN ACE FUHRER
12900,MICHAEL V DREW
12901,GARY M MYLES
12902,DANIEL OBVRNE
12903,CASTELLANO MALM FERRARI BUCK PLLC
12904,LERNER DAVID LITTENBERG KRUMMHOLZ MENTLIK LLP
12905,MANATT PHELPS PHILLIPS LLP
12906,WILLIAM MULLEN
12907,M BRUCE HARPER
12908,KIMBERLY CHASTEEN
12909,DAVID LAROSE
12910,FIRSHAUF HOLTZ GOODMAN CHICK PC
12911,MCKENNA LONG ALDRIDGE
12912,DAVID A LINGBECK
12913,WILLIAM S ANDEA
12914,IRENE HU
12915,LOUIS DUJMICH
12916,CHARLES L WARNER
12917,DONALD DIAMOND
12918,GERALD HESPOS ESQ
12919,COOKALEXMCFARRONMANZOCUMMINGS MEHLER LTD
12920,STEVEN J GOLDSTEIN
12921,KALIKO YEAGER LLC
12922,SCOTT H KALIKO
12923,MARC FILIGENZI
12924,OHLANDT GREELEY RUGGIEROPERLE LLP
12925,LAWRENCE BERKELEY
12926,NATIONAL LABORATORY
12927,NORRIS MCLAUGHLIN MARCUE PA
12928,HAUGEN LAW FIRM
12929,WAYNE A KEOWN
12930,JOSEPH C ZUCCHERO
12931,CRAIG G COCHENOUR ESQ
12932,DUANE A STEWART III ESQ
12933,ERNEST D BUFF ASSOCIATESLLC
12934,BURTON AMERNICK
12935,SONENSCHEIN NATH ROSENTHAL LLP
12936,C ROBERTS RHODES
12937,MARIE F ZUCKERMAN
12938,TARA M ROGNELL
12939,VIOLA T KING
12940,MATTHEW BRUCE ZISK
12941,MCCHARRI VORNDRANJONES
12942,LAW OFFICE OF DR MELVIN BLECHER
12943,ROBERT J WEBSTER
12944,JOHN D DELONG ESQ
12945,ANNE I BREILESS
12946,DANIEL J HUDAK JR
12947,FRED S JEROME
12948,ARENTFOX PLLC
12949,DARRYL M TYRUS
12950,KLASS LAW
12951,DANA REWOLDT
12952,THOMAS C NABER
12953,GORDON H TELFER
12954,GEORGE D SCILE
12955,WELLS ST JOHN
12956,WILLIAM MCCARTHY III
12957,WESTMAN HATTORI DANIELS ADRIAN LLP
12958,BYRAN A SANTARELLI
12959,MATTHEW LUXTON
12960,WOLF GREENNFIELD SACKS PC
12961,WILLAIM B KEMPLER
12962,WILLIAM L PARADICE II
12963,DAVID CONLIN
12964,DAVID TUCKER
12965,OBLONK SPIVAK MCCLELLAND MAIER NEUSTADT PC
12966,LOWRIED LANDO ANASTASI LLP
12967,DARREN GOLD
12968,SHUMAKER SIEFFERT PC
12969,STEPHEN B ACKELMAN
12970,SONNESCHEIN NATH ROSENTHAL LLP
12971,SUART H MAYER ESQ
12972,W CHRIS KIM
12973,WILLIAM C GRAY
12974,DANIEL R BROWN
12975,LAWRENCE Y D HO ASSOC
12976,THE LAW OFFICE OF GERALD MALISZEWSKI
12977,FRANK FRISENDA
12978,JAMES M CATE
12979,CHERYL M FERNANDEZ
12980,PAUL AND PAUL
12981,OHLANDT GREELEY RUGGIEROPERLELL LP
12982,PAUL A LEVY
12983,JOHN S BRADY
12984,GENE SCOTT AND PATENT LAW AND VENTURE GROUP
12985,WALTER DAWSON
12986,INTELLECTUAL PROPERTY LAW LAW GROUP LLP
12987,KAHN SIMON
12988,MICHAEL C SOLDNER AND GIRMA WOLDEMICHAEL
12989,HOWISON ARNOTT
12990,SQUIRE SANDERS DEMPSEY LL P
12991,RICK L PRANZEN
12992,CHARLES L MOORE
12993,SCOTT ANDES ESQUIRE
12994,ROBERT L WOLTER ESQUIRE
12995,PRISCILLA L FERGUSON
12996,CARSON C K FINCHAM
12997,MAGDALENA FINCHAM
12998,DKW LAW GROUP LLC
12999,MARCIA L DOUBET ESQ
13000,T RAD COCA
13001,CENTRA COAST PATENT AGENCY INC
13002,LEE AND HAYES PLLC
13003,FENWICK WEST
13004,DLA PIPER RUDNICK LLP
13005,RICHARD KOTULAK ESQ
13006,JOHN J FARRELL
13007,NORTHWEST PATENT GROUP
13008,JAMES DAVISON
13009,BEUSSE BROWNIEE WOLTER MORA MAIRE PA
13010,MARK J NAHNSEN
13011,MICHAEL E DERGOSITS
13012,ERIC N MAHLER
13013,MARGARET POLSON PATENT LAW OFFICES OF RICK MARTIN PC
13014,LERNER DAVID LITTENBERG KRUMHOLZ MENTLIK LP
13015,EMILY H LUMPKIN
13016,WANG HARTMANN GIBBS PC
13017,ERICK P WOLF
13018,LARRY E SEVERIN
13019,MIKAEL HAVLUCIYAN
13020,FERNANDEZ ASSOCIATE LLP
13021,JOHN S DONINGER
13022,CARLSON GAKSEY OLDS
13023,STUART L SMITH
13024,EVAN D ROBERTS
13025,ROBERT L KNECHTEL
13026,DANIEL H SHERR
13027,R SHAHANI
13028,MICHAEL J MAZZA ESQ
13029,SPENCER A GIBBS
13030,KLAUS T BACH
13031,LINDA A KUHENA
13032,CONRAD O GARDNER
13033,LAURENCE A SAVAGE
13034,DAVID H FORTUNATO
13035,CASTELLANO MALM FARRARIO BUCK PLLC
13036,JAMES F CRITTENDEN
13037,HENRY LAW FIRM
13038,MARK HENRY
13039,THOMAS A YASSEN
13040,DAVID JANCI
13041,LE CARNAHAN
13042,ROBERT S M GORMAN ESQ
13043,CYNTHIA A KOZAKIEWICZ ESQ
13044,TARA L RACHINSKY
13045,ALISA A ALEXANDER
13046,ELINOR K SHIN
13047,LINDA A VAG
13048,FELDMAN GALE PA
13049,JAMES K KAMP ESQ
13050,DANIEL S KIM
13051,JI LANNY TUCKER
13052,SUGHRUE MION ZINN MACPEAK SEAS
13053,CAROLINE M NASH
13054,RONALD C FEDUS
13055,MICHAEL J KELLER
13056,STEPHEN G KAWNCHAK
13057,BUCNANAN INGERSOLL PC
13058,WILLIAM P SKLADONY
13059,MILEN WHITE ZELANO BRANIGAN PC
13060,CAROLYN ELMORE
13061,F AARON DUBBERLEY
13062,FOLEY LARDER LLP
13063,DEAN F VANCE
13064,MICHAEL A MASSE
13065,RENNER KENNER GREIVE BOBAK TAYLOR HEBER
13066,CHARLES RICHARD
13067,ALBERT M CHURILLA
13068,KAREN I KRUPEN
13069,WILLIAM R REID
13070,MICHAEL G MAYO
13071,BIRCH STEWART KOLASCH BIRCH PLL
13072,DANN DORMAN HERRELL SKILLMAN
13073,LAW OFFICE OF CHARLES GUENZER
13074,H NAFT HOUSER ESQ
13075,LEYISOHN BERGER LANGSAM LLP
13076,CHRISTOPHER WHEWELL
13077,NEIL A SEINBERG
13078,DEREK R VAN GILDER
13079,MARK C JACOBS ESQ
13080,ELIOT ABOLAFIA
13081,JOHN G MILLS
13082,MGINN GIBB PLLC
13083,PASS INTELLECTUAL PROPERTY
13084,JAMES PASS
13085,PIETRAGALLO BOSICK GORDON LLP
13086,BAINWOODHUANG
13087,SANDIP MICKY MINHAS
13088,ALBERT J HAMOIS JR
13089,KATTTEN MUCHIN ZAVIS ROSENMAN
13090,BROOKE KUSHMAN PC
13091,SOCAL IP LAW LLP
13092,ARTHUR J ODEA
13093,CRAIN CATON JAMES
13094,LLOYD F BEAN
13095,CANON USA IP DIV
13096,WOOD PHILLIPS VAN SANTEN CLARK MORTIMER
13097,MICHAEL J WISE ESQ
13098,PHILIP L MCGONIGLE
13099,ALAN B SHEAR
13100,STETINA BRUNDA GARRED BRUCKNER
13101,ASHKAN NAJAFI PA
13102,JOHN R SCHELL
13103,RICHARD C AUCHTERLONE
13104,RONALD C FISH A LAW CORP
13105,BRIAN W PETERMAN
13106,TARAKI K DAVDA
13107,VEDDER PRICE KAUFMAN KRUMMHOLZ PC
13108,MEREK BLACKMON VORHEES LLC
13109,KEVIN M MASON
13110,LAURA A MAJERUS
13111,RIMMA BUDNITSKAYA
13112,JANET M SKAFER
13113,GIBB I P LAW FIRM LLC
13114,TIMOTHY M SCHAEBER
13115,PATRICK PACELLA
13116,JEFFER MANGSIS BUTLER MARMARO LLP
13117,JOSEPH J ORLANDO
13118,MARTIN A WEEKS
13119,GARVEY SMITH NEHRBASS NORTH LLC
13120,WALKER MCKENZIE WALTER PC
13121,PROTECTIONS EQUINOX INTL
13122,ARLAND T STEIN
13123,G PAUL EDGELL
13124,FRAN S WASSERMAN
13125,JOSEPH J MALLON
13126,WATSON IP GROUP PLC
13127,JOVAN N JOVANOVIC
13128,FREDRIC T MORELLE
13129,SNELL WILMER
13130,MARTIN E HSIA
13131,ALBERTA A V ITALE
13132,JOSEPH L STRABALA
13133,NICOLAS E SECKEL
13134,LEN H MCCORMICK JR
13135,DAVIDSON DAVIDSON AND KAPPEL LLC
13136,COROWELL MORING
13137,TECHNOLOGY LEGAL COUNSEL LLC
13138,WILLIAM B BLACKMAN
13139,JOHN PIETRANGELO
13140,CASTELLANO MALM FERRARIO BUCK PLLC
13141,BRIAN M BOLUM
13142,MARY RAYNOR JIMENEZ
13143,L KUBENA
13144,MORGANFINNEGAN LLP
13145,G ALAN WITTE
13146,RESLIN ROTHENBERG FARLEY MESITI PC
13147,WARREN E VOLLES
13148,WILLIAM B KEZER
13149,FREDERICK W NIEBUHR ESQ
13150,MILLEN WHITE ZALANO BRANIGAN PC
13151,JOSEPH A TOSSARI
13152,PAULA K DAVIS
13153,ARENDT ASSOCIATES INTELLECTUAL PROPERTY GROUP
13154,JACQUELINE ARENDT
13155,FISH NEAVE LP GROUP OF ROPES GRAY LLP
13156,JACK P FRIEDMAN
13157,FRANK C EYMARD
13158,SARITA B KELLEY
13159,JANET E HASAK ESQ
13160,MARK MILSTEAD
13161,LISA A DIXON
13162,VANDANA DATE
13163,MICHELLE J BURKA
13164,JIN QIAN
13165,PIONEER HIBREED INTERNATIONAL INC
13166,MCGLEW TUTTLE PC
