LINK_ID,MULTI_ID,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,REMARK
1150001401,1,103,000,48,공항대로,
1150001402,1,103,000,48,공항대로,
1150001404,1,103,000,48,공항대로,
1150001405,1,103,000,48,공항대로,
1150001702,1,103,000,48,공항대로,
1150001802,1,103,000,48,공항대로,
1150342900,1,103,000,48,공항대로,
1150343000,1,103,000,48,공항대로,
1150347500,1,103,000,48,공항대로,
1150347700,1,103,000,48,공항대로,
1150411300,1,103,000,48,공항대로,
1150411400,1,103,000,48,공항대로,
1150414700,1,103,000,48,공항대로,
1150414800,1,103,000,48,공항대로,
1150418100,1,103,000,48,공항대로,
1150418200,1,103,000,48,공항대로,
1150422001,1,103,000,48,공항대로,
1150422002,1,103,000,48,공항대로,
1150422101,1,103,000,48,공항대로,
1150422102,1,103,000,48,공항대로,
1160001101,1,102,000,1,서부간선도로,
1160001102,1,102,000,1,서부간선도로,
1160001103,1,102,000,1,서부간선도로,
1160001201,1,102,000,1,서부간선도로,
1160001202,1,102,000,1,서부간선도로,
1160001203,1,102,000,1,서부간선도로,
1160002502,1,102,000,1,서부간선도로,
1160002503,1,102,000,1,서부간선도로,
1160002504,1,102,000,1,서부간선도로,
1160002601,1,102,000,1,서부간선도로,
1160002602,1,102,000,1,서부간선도로,
1160002603,1,102,000,1,서부간선도로,
1160002604,1,102,000,1,서부간선도로,
1160003101,1,102,000,1,서부간선도로,
1160003102,1,102,000,1,서부간선도로,
1160003103,1,102,000,1,서부간선도로,
1160003201,1,102,000,1,서부간선도로,
1160003202,1,102,000,1,서부간선도로,
1160003203,1,102,000,1,서부간선도로,
1160055600,1,102,002,1,서부간선도로,
1160055700,1,102,002,1,서부간선도로,
1160079300,1,102,002,1,서부간선도로,
1160079400,1,102,002,1,서부간선도로,
1160086500,1,102,002,1,서부간선도로,
1170001101,1,102,000,1,서부간선도로,
1170001201,1,102,000,1,서부간선도로,
1170015900,1,102,000,1,서부간선도로,
1170016500,1,102,000,1,서부간선도로,
1170019300,1,102,000,1,서부간선도로,
1170019600,1,102,000,1,서부간선도로,
1170030200,1,102,000,1,서부간선도로,
1170030300,1,102,000,1,서부간선도로,
1170032400,1,102,000,1,서부간선도로,
1170032500,1,102,000,1,서부간선도로,
1170032600,1,102,002,1,서부간선도로,
1170032700,1,102,002,1,서부간선도로,
1170032800,1,102,000,1,서부간선도로,
1170032900,1,102,000,1,서부간선도로,
1170043000,1,102,000,1,서부간선도로,
1170043100,1,102,000,1,서부간선도로,
1170043300,1,102,000,1,서부간선도로,
1170043400,1,102,000,1,서부간선도로,
1180001302,1,102,000,1,서부간선도로,
1180001303,1,102,000,1,서부간선도로,
1180001304,1,102,000,1,서부간선도로,
1180001401,1,102,000,1,서부간선도로,
1180001402,1,102,000,1,서부간선도로,
1180001403,1,102,000,1,서부간선도로,
1180002101,1,102,000,1,서부간선도로,
1180002102,1,102,000,1,서부간선도로,
1180002201,1,102,000,1,서부간선도로,
1180002202,1,102,000,1,서부간선도로,
1180002203,1,102,000,1,서부간선도로,
1180002901,1,102,000,1,서부간선도로,
1180002902,1,102,000,1,서부간선도로,
1180002903,1,102,000,1,서부간선도로,
1180003001,1,102,000,1,서부간선도로,
1180003002,1,102,000,1,서부간선도로,
1180003003,1,102,000,1,서부간선도로,
1180003005,1,102,000,1,서부간선도로,
1180003006,1,102,000,1,서부간선도로,
1180004000,1,102,000,1,서부간선도로,
1180068000,1,102,000,1,서부간선도로,
1180068100,1,102,000,1,서부간선도로,
1180069200,1,102,002,1,서부간선도로,
1180069300,1,102,002,1,서부간선도로,
1180089100,1,102,002,1,서부간선도로,
1180089200,1,102,002,1,서부간선도로,
1180114600,1,102,000,1,서부간선도로,
1180115600,1,103,000,48,노들로,
1180115900,1,103,000,48,노들로,
1180116000,1,103,000,48,성산로,
1180116100,1,102,000,1,서부간선도로,
1180116200,1,103,000,48,노들로,
1180116400,1,103,000,48,성산로,
1180116600,1,103,000,48,노들로,
1180116700,1,103,000,48,노들로,
1180116900,1,103,000,48,노들로,
1180117000,1,103,000,48,성산로,
1180117100,1,103,000,48,노들로,
1180117200,1,103,000,48,노들로,
1180117500,1,102,000,1,서부간선도로,
1180117600,1,102,000,1,서부간선도로,
1180117700,1,103,000,48,노들로,
1180117800,1,103,000,48,노들로,
1180117900,1,103,000,48,노들로,
1180118100,1,103,003,48,공항대로,
1180118201,1,103,003,48,공항대로,
1180118202,1,103,000,48,노들로,
1180118300,1,103,003,48,성산로,
1180118400,1,103,003,48,성산로,
1510003701,1,103,000,25,동북로,
1510003702,1,103,000,25,동북로,
1510003801,1,103,000,25,동북로,
1510003802,1,103,000,25,동북로,
1510004300,1,103,000,25,동북로,
1510004400,1,103,000,25,동북로,
1510004700,1,103,000,25,동북로,
1510004800,1,103,000,25,동북로,
1510005100,1,103,000,25,동북로,
1510005200,1,103,000,25,동북로,
1510005300,1,103,000,25,동북로,
1510005400,1,103,000,25,동북로,
1510005700,1,103,000,25,동북로,
1510005800,1,103,000,25,동북로,
1510006100,1,103,000,25,동북로,
1510006200,1,103,000,25,동북로,
1510006700,1,103,001,25,동북로,
1510006800,1,103,001,25,동북로,
1510007500,1,103,000,25,동북로,
1510007600,1,103,000,25,동북로,
1510008101,1,103,000,25,동북로,
1510008103,1,103,000,25,동북로,
1510008104,1,103,000,25,동북로,
1510008202,1,103,000,25,동북로,
1510008203,1,103,000,25,동북로,
1510008204,1,103,000,25,동북로,
1530000100,1,103,000,26,월배로,
1530000200,1,103,000,26,월배로,
1530000300,1,103,000,26,성당로,
